Game_Id,Title,Release,Series,Genre,Sub-genre,Developer,Publisher,Country,Platform,PEGI,Customizable_main,Protagonist,Protagonist_Non_Male,Relevant_males,Relevant_no_males,Percentage_non_male,Criteria,Director,Total_team,female_team,Team_percentage,Metacritic ,Destructoid,IGN,GameSpot,Avg_Reviews
GTAV,Grand Theft Auto V,11/13/22,GTA,Action-adventure,Action-adventure,Rockstar North,Rockstar Games,GBR,Multi,18,No,3,0,9,2,18%,MS,M,7,0,0%,9.7,9,10,9,9.4
PSS,Pokémon Sword/Shield,11/19/22,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,11%,8,7,9.3,9,8.3
CODMW,Call of Duty: Modern Warfare,10/19/22,Call of Duty,Action,FPS,Infinity Ward,Activision,USA,Multi,18,No,3,1,5,1,17%,MS,M,11,0,0%,8,8,8,7,7.8
RDR2,Red Dead Redemption 2,12/18/22,Red Dead,Action-adventure,Action-adventure,Rockstar Studios,Rockstar Games,USA,Multi,18,No,1,0,17,7,29%,SR,M,7,0,0%,9.7,9.5,10,9,9.6
SMO,Super Mario Odyssey,10/17/22,Super Mario,Action-adventure,Action-adventure,Nintendo EDP,Nintendo,JPN,Nintendo Switch,7,No,1,0,3,2,40%,SR,M,11,1,9%,9.7,9.5,10,10,9.8
BOTW,The Legend of Zelda: Breath of the Wild,03/17/22,The Legend of Zelda,Action-adventure,Action-adventure,Nintendo EDP,Nintendo,JPN,Multi,12,No,1,0,13,5,28%,SR,M,8,0,0%,9.7,10,10,10,9.9
PSM,Pokémon Sun/Moon,11/16/22,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo 3DS,7,Yes,1,1,4,3,43%,MS,M,12,0,0%,8.7,9,9,8,8.7
TW3,The Witcher 3: Wild Hunt,05/15/22,The Witcher,RPG,Action RPG,CD Projeket Red,CD Projekt,POL,Multi,18,No,1,0,13,6,32%,SR,M,9,0,0%,9,8,9.3,10,9.1
CODBO2,Call of Duty: Black Ops 2,11/12/22,Call of Duty,Action,FPS,Treyarch,Activision,USA,Multi,18,No,2,0,12,0,0%,MS,M,10,0,0%,8,,9.3,8,8.4
BL2,Borderlands 2,09/12/22,Borderlands,Action,FPS,Gearbox Software,2K Games,USA,Multi,18,No,4,1,8,4,33%,MS,M,7,0,0%,8.1,8.5,9,8.5,8.5
TWD,The Walking Dead,04/12/22,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7
GOW,God of War,04/18/22,God of War,Action-adventure,Action-adventure,Santa Monica Studio,Sony Interactive Entertaiment,USA,Multi,18,No,1,0,6,1,14%,TR,M,9,1,11%,9.4,10,10,9,9.6
UC4,Uncharted 4: A Thief's End,05/16/22,Uncharted,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,7%,9.3,9.5,9,10,9.5
INS,Inside,06/16/22,,Action,Puzzle-Platform,Paydead,Playdead,DNK,Multi,18,No,1,0,2,0,0%,TR,M,2,0,0%,9.1,9.5,10,8,9.2
UT,Undertale,09/15/22,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10,10,9,9.6
BB,Bloodborne,03/15/22,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1
SK,Shovel Knight: Shovel of Hope,06/14/22,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9,9,8,8.7
